,No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
1,1.0, JAWA TENGAH , KEBUMEN , BUAYAN , ADIWARNO ," Jl. Karangbolong,Adiwarno, Kec. Buayan, Kabupaten Kebumen,
Jawa Tengah, Rangkah, Buayan, Kab. Kebumen, Jawa Tengah ", SPPG Kebumen Buayan Rangkah 
2,2.0, KALIMANTAN SELATAN , TANAH LAUT , TAMBANG ULANG , SUNGAI PINANG , Jl. Kebun Karet H. Abidin Rt 002 Rw 001 Desa Sungai Pinang Kec. Tambang Ulang Kab. Tanah Laut , SPPG Tanah Laut Tambang Ulang Sungai Pinang 
3,3.0, KEPULAUAN RIAU , KOTA BATAM , SAGULUNG , TEMBESI ," Jl Letjen Suprapto, Daerah Mall Top 100 Tembesi (Depan Rusunawa) ", SPPG Kota Batam Sagulung Tembesi 1 
4,4.0, JAWA TENGAH , KEBUMEN , PREMBUN , TUNGGALROSO , Desa Tunggalroso Kecamatan Prembun Kabupaten Kebumen  Jawa Tengah , SPPG Kebumen Prembun Tunggalroso 
5,5.0, JAWA BARAT , CIANJUR , SUKALUYU , SINDANGRAJA , Jl. Raya Cibogo Bandung Jonggol sindangraja sukaluyu cianjur Jawa Barat , SPPG Cianjur Sukaluyu Sindangraja 
6,6.0, NUSA TENGGARA TIMUR , KOTA KUPANG , MAULAFA , MAULAFA ," Jln. Fetor feonay, Rt 16/ Rw 06,Kel. Maulafa,Kec. Maulafa,Kota Kupang,NTT ", SPPG Kota Kupang Maulafa Maulafa 
7,7.0, SUMATERA UTARA , SIMALUNGUN , GUNUNG MALIGAS , KARANG SARI ," Jl. Purwo Huta Tiga, Karang Sari, Kec. Gunung Maligas, Kab. Simalungun, Sumatera Utara ", SPPG Simalungun Gunung Maligas Karang Sari 
8,8.0, JAWA BARAT , SUKABUMI , CIBADAK , PAMURUYAN ," Jl. Pamuruyan Leuweung Datar, Desa Pamuruyan, Kec. Cibadak, Kab. Sukabumi, Jawa Barat ", SPPG Sukabumi Cibadak Pamuruyan 2 
9,9.0, SULAWESI TENGGARA , MUNA BARAT , TIWORO UTARA , TONDASI ," Jl. Poros Tondasi, Desa Tondasi, Kecamatan Tiworo Utara, Kabupaten Muna Barat, Sulawesi Tenggara ", SPPG Muna Barat Tiworo Utara Tondasi 
10,10.0, JAWA TENGAH , KOTA SURAKARTA , BANJARSARI , KADIPIRO ," Jl. Kerinci No 20, Banjarsari, Kec. Banjarsari, Kota Surakarta, Jawa Tengah ", SPPG Kota Surakarta Banjarsari Kadipiro 3 
12,11.0, SULAWESI UTARA , KEPULAUAN SANGIHE , TAHUNA TIMUR , TAPUANG ," Jl. Tapuang Muka, Tapuang, Kecamatan Tahuna, Kabupaten Kepulauan Sangihe, Sulawesi Utara ", SPPG Kepulauan Sangihe Tahuna Timur Tapuang 
13,12.0, DAERAH ISTIMEWA YOGYAKARTA , KULON PROGO , GALUR , PANDOWAN ,"  Padukuhan I RT 07 RW 04 Pandowan, Galur , Kulon Progo , Yogyakarta ", SPPG Kulon Progo Galur Pandowan 
14,13.0, RIAU , KAMPAR , KAMPAR KIRI HILIR , SUNGAI PAGAR ," Jl. Sungai Pagar Mentulik Km.2,5 Desa Sungai Pagar, Kecamatan Kampar Kiri Hilir, Kabupaten Kampar, Riau ", SPPG Kampar Kampar Kiri Hilir Sungai Pagar 2 
15,14.0, JAWA TENGAH , KLATEN , KLATEN TENGAH , KLATEN ," Jl. Pramuka, Pondok, Klaten, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57411 ", SPPG Klaten Klaten Tengah Klaten 2 
16,15.0, JAWA TIMUR , MALANG , NGANTANG , SUMBERAGUNG ," Jl. Raya Sumberagung Rt 008 Rw 002, Kebonsari, Sumberagung, Kecamatan Ngantang, Kabupaten Malang, Jawa Timur ", SPPG Malang Ngantang Sumberagung 2 
17,16.0, SUMATERA SELATAN , OGAN KOMERING ILIR , LEMPUING JAYA , MUKTISARI ," Desa Mukti Sari Bambu Kuning, RT 09 RW 03, Kecamatan Lempuing Jaya, Kabupaten Ogan Komering Ilir, Provinsi Sumatera Selatan ", SPPG OKI Lempuing Jaya Muktisari 
18,17.0, KEPULAUAN RIAU , KOTA BATAM , BATAM KOTA , SUNGAI PANAS ," Jl. Raja H. Fisabilillah, Sungai Panas. Kota Batam ", SPPG Kota Batam Batam Kota Sungai Panas 2 
19,18.0, ACEH , ACEH UTARA , MEURAH MULIA , BEURINGEN ," Jalan Putroe Beutong, Gampong Beuringen, Kecamatan Meurah Mulia, Kabupaten Aceh Utara, Aceh 24372 ", SPPG Aceh Utara Meurah Mulia Gampong Teungoh 
20,19.0, JAWA TIMUR , SIDOARJO , WARU , PEPELEGI ," Jl. Joyoboyo No.66, Legi, Pepelegi, Waru, Kab. Sidoarjo, Jawa Timur ", SPPG Sidoarjo Waru Pepelegi 
21,20.0, JAWA TIMUR , GRESIK , DRIYOREJO , DRIYOREJO ," Jl. Kh Abdurohim 01 Desa Driyorejo, Kec. Driyorejo, Kab. Gresik, Jawa Timur ", SPPG Gresik Driyorejo Driyorejo 2 
23,21.0, JAWA TENGAH , CILACAP , ADIPALA , DOPLANG ," Jl. Kartini Desa Doplang, Kecamatan Adipala, Kabupaten Cilacap, Jawa Tengah ", SPPG Cilacap Adipala Doplang 3 
24,22.0, JAWA TIMUR , KOTA PASURUAN , PANGGUNGREJO , PEKUNCEN ," Jl. Pahlawan No.29, Pekuncen, Kec. Panggungrejo, Kota Pasuruan, Jawa Timur ", SPPG Kota Pasuruan Panggungrejo Pekuncen 3 
25,23.0, KALIMANTAN SELATAN , BALANGAN , LAMPIHONG , TAMPANG , Desa Tampang Kecamatan Lampihong Kabupaten Balangan Kalimantan Selatan , SPPG Balangan Lampihong Tampang 
26,24.0, KALIMANTAN SELATAN , BANJAR , SIMPANG EMPAT , CABI ," Jl. A. Yani 15 Km 65 Rt 01, Desa Cabi, Kec. Simpang Empat, Kab. Banjar, Kalimantan Selatan ", SPPG Banjar Simpang Empat Cabi 
27,25.0, JAWA TIMUR , SAMPANG , KARANGPENANG , TLAMBAH ," Dsn Tlambah Tengah, Ds Tlambah kec. Karang Penang Kab.Samag Jawa timur  ", SPPG Sampang Karangpenang Tlambah 4 
28,26.0, LAMPUNG , LAMPUNG TENGAH , TERBANGGI BESAR , NAMBAH DADI ," Dusun Nambah Harum, Nambah Dadi, Kecamatan Terbanggi Besar, Kabupaten Lampung Tengah, Lampung ", SPPG Lampung Tengah Terbanggi Besar Nambah Dadi 
29,27.0, JAWA BARAT , INDRAMAYU , TUKDANA , KERTICALA ," Blok Puskesmas RT 013 RW 003, Desa Kerticala, Kecamatan Tukdana, Kabupaten Indramayu, Provinsi Jawa Barat ", SPPG Indramayu Tukdana Kerticala 
30,28.0, JAWA BARAT , BOGOR , TAJURHALANG , TAJURHALANG ," Jl. Jatayu, Kampung Karet No.3 Rt 001 Rw 011, Desa Tajur Halang, Kecamatan Tajur Halang, Kabupaten Bogor, Jawa Barat ", SPPG Bogor Tajurhalang Tajurhalang 5 
31,29.0, JAWA TIMUR , SAMPANG , KETAPANG , KETAPANG TIMUR ," Jl. Raya Torowan, Ketapang Timur, Kec. Ketapang, Kab. Sampang, Jawa Timur ", SPPG Sampang Ketapang Ketapang Timur 2 
32,30.0, DKI JAKARTA , KOTA ADM. JAKARTA UTARA , CILINCING , ROROTAN ," Jl. Sungai Kendal No 120 Rt 001 Rw 08 Kel. Rorotan, Kec. Cilincing, Kota Adm. Jakarta Utara, Dki Jakarta ", SPPG Jakut Cilincing Rorotan 8 
34,31.0, LAMPUNG , KOTA METRO , METRO UTARA , PURWOSARI ," Jl. Walet No.67, RT 021 RW 03, Kel. Purwosari, Kec. Metro Utara, Kota Metro, Lampung ", SPPG Kota Metro Metro Utara Purwosari 4 
35,32.0, JAWA BARAT , SUKABUMI , PALABUHANRATU , JAYANTI ," Kampung Jayanti Rt 001 Rw 004, Desa Jayanti, Kecamatan Palabuhanratu Kabupaten Sukabumi, Provinsi Jawa Barat ", SPPG Sukabumi Palabuhanratu Jayanti 
36,33.0, SULAWESI TENGGARA , KOTA KENDARI , MANDONGA , KORUMBA ," Jl. Made Sabara, Kelurahan Korumba, Kecamatan Mandonga, Kota Kendari, Sulawesi Tenggara ", SPPG Kota Kendari Mandonga Korumba 
37,34.0, JAWA TENGAH , KARANGANYAR , GONDANGREJO , JATIKUWUNG ," Jl. Azzaria Raya, Gondangrejo, Jatikuwung, Kec. Gondangrejo, Kabupaten Karanganyar, Jawa Tengah  ", SPPG Karanganyar Gondangrejo Jatikuwung 
38,35.0, BANTEN , KOTA SERANG , TAKTAKAN , SEPANG ," Jl. 45 Kigede Link Kubang Cowe Rt.04 Rw.02 Kel. Sepang Kec. Taktakan Kota Serang, Banten ", SPPG Kota Serang Taktakan Sepang 
39,36.0, JAWA TIMUR , LAMONGAN , LAMONGAN , SUKOMULYO ," JL. Mastrip 81, Sumbermulyo RT002 RW002 Sukomulyo, Lamongan, Jatim ", SPPG Lamongan Lamongan Sukomulyo 
40,37.0, JAWA TIMUR , BLITAR , NGLEGOK , NGLEGOK ," Jl. Penataran Rt/Rw 01/05 Desa/Kelurahan Kedawung Kec. Nglegok Kab Blitar, Jawa Timur ", SPPG Blitar Nglegok Kedawung 
41,38.0, LAMPUNG , PRINGSEWU , SUKOHARJO , PANDAN SARI ," Pandan Sari, Rt 003 Rw 002, Pandansari, Kec. Sukoharjo, Kab. Pringsewu, Lampung ", SPPG Pringsewu Sukoharjo Pandan Sari 
42,39.0, JAWA BARAT , BOGOR , CIBINONG , CIRIUNG ," Jl. Rawa Benteur 2, Lingkungan 01 Citatah Dalam, Rt 02/02 No 11 Kel. Ciriung, Kec. Cibinong, Kab. Bogor, Jawa Barat ", SPPG Bogor Cibinong Ciriung 
43,40.0, JAWA TENGAH , PATI , MARGOYOSO , CEBOLEK KIDUL , Jl. Tayu-Juwana Rt.02 Rw.06 Cebolek Kidul Margoyoso Pati , SPPG Pati Margoyoso Cebolek Kidul 1 
45,41.0, LAMPUNG , PESAWARAN , GEDONG TATAAN , NEGERI SAKTI ," Jl. Way Ratai Dusun Negeri Tua Rt 004 Rw 002 Desa Negeri Sakti Kec. Gedong Tataan Kab. Pesawaran, Lampung ", SPPG Pesawaran Gedong Tataan Negeri Sakti 
46,42.0, JAWA TENGAH , WONOSOBO , WONOSOBO , PAGERKUKUH ," Jlegong Rt. 002/Rw. 006, Desa Pagerkukuh, Kec. Wonosobo, Kab. Wonosobo, Jawa Tengah ", SPPG Wonosobo Wonosobo Pagerkukuh 
47,43.0, JAWA TENGAH , BANYUMAS , PURWOKERTO SELATAN , KARANGPUCUNG ," Jl. Pembina IV Rt 05 Rw 06 Kelurahan Karangpucung, Kec. Purwokerto Selatan, Kab. Banyumas, Jawa Tengah ", SPPG Banyumas Purwokerto Selatan Karangpucung 
48,44.0, JAWA BARAT , SUKABUMI , CIKIDANG , NANGKAKONENG ," Kampung Nangka Koneng Rt 01 Rw 01, Desa Nangkakoneng, Kec. Cikidang, Kab. Sukabumi, Jawa Barat ", SPPG Sukabumi Cikidang Nangkakoneng 
49,45.0, NUSA TENGGARA TIMUR , NAGEKEO , AESESA , MBAY I ," Ameaba, Rt. 015 Rw. 000, Kel. Mbay I, Kecamatan Aesesa, Kab. Nagekeo Nusa Tenggara Timur ", SPPG Nagekeo Aesesa Mbay I 
50,46.0, JAWA TIMUR , MADIUN , GEGER , SUMBEREJO ," Jl. Sultan Agung, Karanganyar, Sumberejo, Kec. Geger, Kabupaten Madiun, Jawa Timur 63171 ", SPPG Madiun Geger Sumberejo 
51,47.0, JAWA TIMUR , MALANG , SUMBERPUCUNG , KARANGKATES ," Jl. Jendral Basuki Ahmad, Desa Karangkates, Kabupaten Malang, Jawa Timur, Karangkates, Sumberpucung, Kab. Malang, Jawa Timur ", SPPG Malang Sumberpucung Karangkates 
52,48.0, JAWA BARAT , SUKABUMI , PARUNGKUDA , BOJONGKOKOSAN ," Kampung Pasir Baliung 4.B Rt.03 Rw.04 Desa Bojongkokosan, Kec. Parungkuda, Kab. Sukabumi, Jawa Barat ", SPPG Sukabumi Parungkuda Bojongkokosan 4 
53,49.0, SUMATERA BARAT , PESISIR SELATAN , BAYANG , KOTO BERAPAK ," Jl. Pasar Baru Asam Kumbang, Koto Berapak ", SPPG Pesisir Selatan Bayang Kota Berapak 
54,50.0, KALIMANTAN BARAT , KOTA PONTIANAK , PONTIANAK UTARA , SIANTAN HILIR ," Jalan Teluk Sahang, Kelurahan Siantan Hilir, Kecamatan Pontianak Utara, Kota Pontianak, Provinsi Kalimantan Barat ", SPPG Kota Pontianak Pontianak Utara Siantan Hilir 3 
56,51.0, JAWA BARAT , BANDUNG , BANJARAN , KIANGROKE ," Jl. Pahlawan No. 27 Rt 001 Rw 013, Desa Kiangroke, Kec. Banjaran, Kab. Bandung, Jawa Barat ", SPPG Bandung Banjaran Kiangroke 4 
57,52.0, JAWA TENGAH , KOTA SEMARANG , GAYAMSARI , PANDEAN LAMPER ," Jl. Kelinci Raya Rt 001 Rw 001, Pandean Lamper, Kec. Gayamsari, Kota Semarang, Jawa Tengah ", SPPG Kota Semarang Gayamsari Pandean Lamper 
58,53.0, KALIMANTAN BARAT , KETAPANG , SANDAI , MUARA JEKAK ," Jl. Aur Kuning Sandai Desa Muara Jekak, Kec. Sandai, Kab. Ketapang, Kalimantan Barat ", SPPG Ketapang Sandai Muara Jekak 
59,54.0, JAWA BARAT , SUMEDANG , SUMEDANG SELATAN , KOTA KULON ," Jl. Pangeran Santri No.43, Kota Kulon, Kecamatan Sumedang Selatan, Kabupaten Sumedang, Jawa Barat  ", SPPG Sumedang Sumedang Selatan Kota Kulon 4 
60,55.0, JAWA TENGAH , TEGAL , PAGERBARANG , MULYOHARJO ," Jl. Raya Balapulang Jatibarang Desa Mulyoharjo Rt. 01 Rw. 02 Kec. Pagerbarang, Kab. Tegal, Jawa Tengah ", SPPG Tegal Pagerbarang Mulyoharjo 
61,56.0, JAWA TIMUR , PACITAN , PACITAN , SIRNOBOYO , RT 03 RW 01 Dusun Ngemplak Desa Sirnoboyo Kec Pacitan Kab Pacitan Jawa Timur Kode Pos 63518 , SPPG Pacitan Pacitan Sirnoboyo 
62,57.0, BANTEN , PANDEGLANG , PANIMBANG , MEKARJAYA ," Kampung Ciseukeut Barat Rt. 01 Rw. 05 Desa Mekarsari, Kec. Panimbang, Kab. Pandeglang, Banten ", SPPG Pandeglang Panimbang Mekarjaya 2 
63,58.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , BATUKLIANG , BUJAK ," Dusun Bujak Permai, Desa Bujak Kec. Batukliang, Kab. Lombok Tengah, Nusa Tenggara Barat ", SPPG Lombok Tengah Batukliang Bujak 2 
64,59.0, DAERAH ISTIMEWA YOGYAKARTA , GUNUNGKIDUL , WONOSARI , BALEHARJO ," Jl. Baron, Purwosari, Baleharjo, Kecamatan Wonosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta ", SPPG Gunungkidul Wonosari Baleharjo 3 
65,60.0, JAWA BARAT , KOTA BEKASI , BEKASI BARAT , JAKASAMPURNA ," Jl. Patriot Rt 005 Rw 006 B Jakasampurna, Kecamatan Bekasi Barat, Kota Bekasi, Jawa Barat ", SPPG Kota Bekasi Bekasi Barat Jakasampurna 6 
67,61.0, LAMPUNG , WAY KANAN , BARADATU , TAMAN ASRI ," Jl. Sadewa No 51 Kel. Taman Asri , Baradatu, Way Kanan ", SPPG Way Kanan Baradatu Taman Asri 
68,62.0, JAWA TIMUR , JEMBER , SUMBERSARI , KRANJINGAN ," Jl. Yos Sudarso No.121, Langsepan, Kranjingan, Kec. Sumbersari, Kab. Jember, Jawa Timur ", SPPG Jember Sumbersari Kranjingan 2 
69,63.0, JAWA TIMUR , LAMONGAN , PACIRAN , PACIRAN ," Jl. Sendang Desa Paciran Kecamatan Paciran Kabupaten Lamongan 62264 Jawa Timur, Paciran, Paciran, Kabupaten Lamongan, Jawa Timur ", SPPG Lamongan Paciran Paciran 
70,64.0, JAWA BARAT , BANDUNG BARAT , SINDANGKERTA , WANGUNSARI ," Kampung Babakan Mulya Rt.05 Rw.08, Wangunsari, Kec. Sindangkerta, Kab. Bandung Barat, Jawa Barat ", SPPG Bandung Barat Sindangkerta Wangunsari 
71,65.0, SUMATERA SELATAN , OGAN KOMERING ULU TIMUR , BUAY PEMUKA PELIUNG , PEMETUNG BESUKI ," Jl. Lintas Kota Baru, Desa Pemetung Besuki, Kecamatan Buay Pemuka Peliung, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan ", SPPG OKUT Buay Pemuka Peliung Pemetung Besuki 
72,66.0, ACEH , ACEH TENGAH , BINTANG , GELE PULO ," Kampung Gele Pulo, Kecamatan Bintang, Kabupaten Aceh Tengah, Provinsi Aceh ", SPPG Aceh Tengah Bintang Gele Pulo 
73,67.0, JAWA BARAT , MAJALENGKA , SINDANGWANGI , SINDANGWANGI ," Blok Kaliwon, Desa Sindangwangi, Kec. Sindangwangi. Kab. Majalengka, Jawa Barat ", SPPG Majalengka Sindangwangi Sindangwangi 
74,68.0, JAWA TIMUR , SIDOARJO , KREMBUNG , MOJORUNTUT ," Jabon Mojoruntut Rt 18 Rw 09 Kec Krembung Kab Sidoarjo, Krembung, Kab. Sidoarjo, Jawa Timur ", SPPG Sidoarjo Krembung Mojoruntut 
75,69.0, JAWA TENGAH , BREBES , BREBES , GANDASULI ," Jl. Wr. Supratman Gandasuli Brebes, Gandasuli, Kecamatan Brebes, Kabupaten Brebes, Jawa Tengah ", SPPG Brebes Brebes Gandasuli 
76,70.0, JAWA BARAT , BANDUNG , BANJARAN , CIAPUS ," Kampung Panenjoan Rt02/13 Desa Ciapus, Kec. Banjaran, Kab. Bandung Jawa Barat ", SPPG Bandung Banjaran Ciapus 3 
78,71.0, NUSA TENGGARA TIMUR , KUPANG , TAKARI , TAKARI ," Jl. Oesao Bokong, Takari, Kecamatan Takari, Kabupaten Kupang, Nusa Tenggara Timur ", SPPG Kupang Takari Takari 
79,72.0, PAPUA BARAT , MANOKWARI , MANOKWARI BARAT , AMBAN ," Jln. Angkasa Mulyono, Amban, Manokwari, Papua Barat ", SPPG Manokwari Manokwari Barat Amban 
80,73.0, SUMATERA SELATAN , KOTA LUBUK LINGGAU , LUBUK LINGGAU UTARA I , DURIAN RAMPAK ," Jl. Lintas Sumatera, Durian Rampak, Kec. Lubuk Linggau Utara I, Kota Lubuk Linggau, Sumatera Selatan ", SPPG Kota Lubuk Linggau Lubuk Linggau Utara I Durian Rampak 
81,74.0, JAWA BARAT , BOGOR , CIBINONG , CIRIMEKAR ," Jl. Raya Jakarta Bogor No.42, Kampung Parung Jambu, Cirimekar, Kec. Cibinong, Kab. Bogor, Jawa Barat ", SPPG Bogor Cibinong Cirimekar  
82,75.0, JAWA TENGAH , PATI , WEDARIJAKSA , TAWANGHARJO ," Desa Tawangharjo Rt 4 Rw 2, Kecamatan Wedarijaksa, Kabupaten Pati, Jawa Tengah ", SPPG Pati Wedarijaksa Tawangharjo 
83,76.0, BALI , GIANYAR , SUKAWATI , SINGAPADU ," Jl. Puseh Natih, Br. Negari, Desa Singapadu Tengah, Kec. Sukawati, Kab. Gianyar, Bali ", SPPG Gianyar Sukawati Singapadu 
84,77.0, JAWA TIMUR , JOMBANG , JOMBANG , SAMBONGDUKUH ," Dusun Sambongsantren, Desa Sambongdukuh, Kec. Jombang, Kab. Jombang, Jawa Timur ", SPPG Jombang Jombang Sambongdukuh 4 
85,78.0, JAWA BARAT , KOTA CIMAHI , CIMAHI SELATAN , CIBEBER ," Jl. Kerkof No.214, Cibeber, Kec. Cimahi Selatan, Kota Cimahi, Jawa Barat ", SPPG Kota Cimahi Cimahi Selatan Cibeber 6 
86,79.0, JAWA BARAT , PURWAKARTA , CAMPAKA , CIJUNTI ," Kampung Tanjung Garut Rt 003/ 001, Desa Cijunti, Kecamatan Campaka, Kabupaten Purwakarta, Jawa Barat ", SPPG Purwakarta Campaka Cijunti 
87,80.0, SULAWESI BARAT , MAMUJU , KALUKKU , SONDOANG ," Jl. Poros Kalumpang, Sondoang, Kalukku, Kabupaten Mamuju, Sulawesi Barat ", SPPG Mamuju Kalukku Sondoang 
89,81.0, JAWA BARAT , BANDUNG , MAJALAYA , BIRU ," Kampung Cisapi, Rt 02 Rw 09, Biru, Kec. Majalaya, Kab. Bandung, Jawa Barat ", SPPG Bandung Majalaya Biru 7 
90,82.0, JAWA TENGAH , PEKALONGAN , TALUN , DONOWANGUN ," Jl. Donowangun Bangun Kidul, Desa Donowangun, Kec. Talun, Kab. Pekalongan, Jawa Tengah ", SPPG Pekalongan Talun Donowangun  
91,83.0, JAWA TENGAH , CILACAP , KARANGPUCUNG , SURUSUNDA ," Desa Surusunda, Kecamatan Karangpucung, Kabupaten Cilacap, Jawa Tengah ", SPPG Cilacap Karangpucung Surusunda 
92,84.0, SUMATERA UTARA , KARO , MUNTE , KINEPPEN ," Kineppen, Kecamatan Munte, Kabupaten Karo, Sumatera Utara ", SPPG Karo Munte Kineppen 
93,85.0, KALIMANTAN TENGAH , KOTA PALANGKA RAYA , JEKAN RAYA , MENTENG , Jl. Temanggung Tillung XII No.03 Kota Palangka Raya  , SPPG Kota Palangka Raya Jekan Raya Menteng 2 
94,86.0, JAWA BARAT , CIREBON , ARJAWINANGUN , ARJAWINANGUN , Kebon pring desa Arjawinangun kecamatan Arjawinangun  , SPPG Cirebon Arjawinangun Arjawinangun 2 
95,87.0, JAWA TENGAH , KOTA SALATIGA , ARGOMULYO , CEBONGAN ," Dukuh Cebongan Kel. Cebongan, Kec. Argomulyo, Kota Salatiga, Jawa Tengah ", SPPG Kota Salatiga Argomulyo Cebongan 
96,88.0, JAWA TENGAH , KEBUMEN , KEBUMEN , MURTIREJO ," Karang Malang Desa Murtirejo Kec. Kebumen Kab. Kebumen, Jawa Tengah ", SPPG Kebumen Kebumen Murtirejo 
97,89.0, JAWA TENGAH , JEPARA , TAHUNAN , NGABUL ," Dukuh Jeruk Gulung, Rt 04 Rw 07 Desa Ngabul, Kec. Tahunan, Kab. Jepara, Jawa Tengah ", SPPG Jepara Tahunan Ngabul 2 
98,90.0, LAMPUNG , LAMPUNG TIMUR , SUKADANA , SUKADANA ILIR ," Jl. Ki Mas Lk. 3, Desa Sukadana Ilir, Kec. Sukadana, Kab. Lampung Timur, Prov. Lampung ", SPPG Lampung Timur Sukadana Sukadana Ilir 
100,91.0, SUMATERA UTARA , SERDANG BEDAGAI , TELUK MENGKUDU , SIALANG BUAH ," Jl. Pantai Indah Sialang Buah, Desa Sialang Buah, Kec. Teluk Mengkudu, Kab. Serdang Bedagai, Sumatera Utara ", SPPG Serdang Bedagai Teluk Mengkudu Sialang Buah 
101,92.0, JAMBI ,  MUARO JAMBI , JAMBI LUAR KOTA , MUARO PIJOAN ," Jl. Jambi Muaro Bulian, Simpang Taman Setiti, Desa Muaro Pijoan, Kecamatan Jambi Luar Kota, Kabupaten Muaro Jambi, Jambi ", SPPG  Muaro Jambi Jambi Luar Kota Muaro Pijoan 
102,93.0, JAWA TENGAH , PATI , GEMBONG , WONOSEKAR ," Wonosekar, Kecamatan Gembong, Kabupaten Pati, Jawa Tengah ", SPPG Pati Gembong Wonosekar 
103,94.0, JAWA BARAT , PURWAKARTA , PASAWAHAN , PASAWAHAN ," Kp. Bungurjaya RT08/04 Ds. Pasawahan Kec. Pasawahan Kab. Purwakarta, Jawa Barat ", SPPG Purwakarta Pasawahan Pasawahan 2 
104,95.0, JAWA BARAT , GARUT , SUKAWENING , MARIPARI ," Maripari, Kecamatan Sukawening, Kabupaten Garut, Jawa Barat ", SPPG Garut Sukawening Maripari 2 
105,96.0, SUMATERA SELATAN , KOTA PALEMBANG , KALIDONI , KALIDONI ," Jl. K.H. Wahab Saidy Rt. 037 Rw. 007, Kalidoni, Kec. Kalidoni, Kota Palembang, Sumatera Selatan ", SPPG Kota Palembang Kalidoni Kalidoni 6 
106,97.0, JAWA BARAT , SUBANG , CIPEUNDEUY , CIPEUNDEUY ," Kp. Cipeundeuy RT/RW 13/04, CIPEUNDEUY, CIPEUNDEUY, KAB. SUBANG, JAWA BARAT ", SPPG Subang Cipeundeuy Cipeundeuy 
107,98.0, JAWA BARAT , BOGOR , JASINGA , JASINGA ," Kampung Babakan No 50 Rt 03 Rw 04, Jasinga, Kec. Jasinga, Kab. Bogor, Jawa Barat ", SPPG Bogor Jasinga Jasinga 
108,99.0, JAWA TENGAH , WONOGIRI , BATURETNO , SARADAN ," Dusun Gedawung Rt.004 Rw.009 Desa Saradan Kecamatan Baturetno Kabupaten Wonogiri, Jawa Tengah ", SPPG Wonogiri Baturetno Saradan 
109,100.0, JAWA TIMUR , MOJOKERTO , PUNGGING , TUNGGALPAGER ," Jl. Raya Brawijaya No. 229 Rt. 002 Rw. 001 Dusun Wongiri Desa Tunggalpager, Kecamatan Pungging, Kabupaten Mojokerto, Jawa Timur ", SPPG Mojokerto Pungging Tunggalpager 2 
111,101.0, DAERAH ISTIMEWA YOGYAKARTA , KULON PROGO , NANGGULAN , DONOMULYO ," Lengkong, Donomulyo, Kec. Nanggulan, Kab. Kulon Progo, Daerah Istimewa Yogyakarta ", SPPG Kulon Progo Nanggulan Donomulyo 
112,102.0, JAWA BARAT , KOTA BEKASI , BANTARGEBANG , BANTARGEBANG ," Kampung Bantar Gebang Jl. Pangkalan 1B No. 14 03/05, Bantargebang, Kec. Bantargebang, Kota Bekasi, Jawa Barat ", SPPG Kota Bekasi Bantargebang Bantargebang 2 
113,103.0, JAWA TIMUR , PAMEKASAN , WARU , SUMBER WARU ," Dusun Gulu`An, Sumber Waru, Kec. Waru, Kab. Pamekasan, Jawa Timur ", SPPG Pamekasan Waru Sumber Waru 
114,104.0, JAWA TIMUR , BONDOWOSO , BONDOWOSO , KADEMANGAN ," Kelurahan Kademangan, Kecamatan Bondowoso, Kabupaten Bondowoso, Jawa Timur ", SPPG Bondowoso Bondowoso Kademangan 2 
115,105.0, BANTEN , SERANG , KRAMATWATU , KRAMATWATU ," Desa Kramatwatu, Kecamatan Kramatwatu, Kabupaten Serang, Banten ", SPPG Serang Kramatwatu Kramatwatu 2 
116,106.0, JAWA TENGAH , PEMALANG , PEMALANG , MULYOHARJO ," Mulyoharjo, Kecamatan Pemalang, Kabupaten Pemalang, Jawa Tengah ", SPPG Pemalang Pemalang Mulyoharjo 
117,107.0, JAWA TENGAH , PATI , MARGOREJO , MUKTIHARJO ," Jl. Soewondo Kel. Muktiharjo, Kec. Margorejo, Kab. Pati, Jawa Tengah ", SPPG Pati Margorejo Muktiharjo 4 
118,108.0, DKI JAKARTA , KOTA ADM. JAKARTA SELATAN , KEBAYORAN LAMA , CIPULIR ," Jl. Ciledug Raya No.17 Rt 4 Rw 5, Kel. Cipulir, Kecamatan Kecamatan Kebayoran Lama, Kota Adm. Jakarta Selatan, Dki Jakarta ", SPPG Jaksel Kebayoran Lama Cipulir 4 
119,109.0, SUMATERA BARAT , KOTA PADANG , PADANG TIMUR , KUBU DALAM PARAK KARAKAH ," Jl. Kubu Dalam No.12, Rt. 003 Rw. 001, Kel. Kubu Dalam Parak Karakah, Kec. Padang Timur, Kota Madya Padang,Sumatra Barat ", SPPG Kota Padang Padang Timur Kubu Dalam Parak Karakah 2 
120,110.0, JAWA TIMUR , MALANG , KEPANJEN , JATIREJOYOSO ," Jl. Masjid Dusun Mergosingo, Jatirejoyoso, Kepanjen, Kab. Malang, Jawa Timur ", SPPG Malang Kepanjen Jatirejoyoso 
