,No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
8520,7746.0, SULAWESI SELATAN , PANGKAJENE DAN KEPULAUAN , SEGERI , BONE ," Jalan Poros Makassar - Pare - pare, Kelurahan Bone, Kecamatan Segeri, Kab. Pangkajene Kepulauan, Sulawesi Selatan ", SPPG Pangkajene Dan Kepulauan Segeri Bone 
8521,7747.0, KEPULAUAN RIAU , KOTA BATAM , BATU AJI , KIBING ," Komplek Ruko Central Park Blok L No.13-14, Kibing, Kec. Batu Aji, Kota Batam, Kepulauan Riau ", SPPG Kota Batam Batu Aji Kibing 3 
8522,7748.0, JAWA BARAT , BOGOR , CIAWI , BITUNGSARI ," Jl. Poros Desa Banjarsari, Kec. Ciawi, Kab. Bogor, Jawa Barat ", SPPG Bogor Ciawi Bitungsari 2 
8523,7749.0, JAWA BARAT , CIANJUR , MANDE , JAMALI ," Kampung Walahar Hilir, RT.001/RW.009, Kelurahan Jamali, Kecamatan Mande, Kabupaten Cianjur, Provinsi Jawa Barat ", SPPG Cianjur Mande Jamali 1 
8524,7750.0, BANTEN , TANGERANG , PANONGAN , RANCA IYUH ," Jl. Ranca Iyuh, Kecamatan Panongan, Kabupaten Tangerang, Banten ", SPPG Tangerang Panongan Ranca Iyuh 
8526,7751.0, JAWA BARAT , CIANJUR , CIDAUN , KERTAJADI ," Kampung Simpangsari Rt 01 Rw 07 Desa Kertajadi Kecamatan Cidaun Kabupaten Cianjur, Jawa Barat ", SPPG Cianjur Cidaun Kertajadi 
8527,7752.0, SUMATERA UTARA , NIAS , BOTOMUZOI , HILIMBOWO BOTOMUZOI ,"  Jalan Hili Serangkai -  Botomuzoi, Desa Hilimbowo  Botomuzoi, Kecamatan  Botomuzoi, Kabupaten  Nias, Sumatera Utara ", SPPG Nias Botomuzoi Hilimbowo Botomuzoi 
8528,7753.0, BANTEN , PANDEGLANG , PANDEGLANG , KABAYAN ," Jl. Raya Rangkas Bitung Kp. Kumalirang Kelurahan Kabayan, Kecamatan Pandeglang, Kabupaten Pandeglang Provinsi Banten ", SPPG Pandeglang Pandeglang Kabayan 2 
8529,7754.0, SULAWESI UTARA , KOTA KOTAMOBAGU , KOTAMOBAGU SELATAN , MOTOBOI KECIL ," Jl. Darussalam, Rt 002 Rw 001 Motoboi Kecil, Kec. Kotamobagu Selatan, Kota Kotamobagu, Sulawesi Utara ", SPPG Kota Kotamobagu Kotamobagu Selatan Motoboi Kecil 
8530,7755.0, SULAWESI SELATAN , BANTAENG , TOMPO BULU , BANYORANG , Jalan Pendidikan - Banyorang Utara , SPPG Bantaeng Tompo Bulu Banyorang 1 
8531,7756.0, JAWA TIMUR , NGAWI , MANTINGAN , KEDUNGHARJO ," Jl. Mantingan Pakah, Rt.25/Rw.04, Kedung Ombo, Kedungharjo, Kecamatan Mantingan, Kabupaten Ngawi, Jawa Timur ", SPPG Ngawi Mantingan Kedungharjo 
8532,7757.0, DAERAH ISTIMEWA YOGYAKARTA , KULON PROGO , SENTOLO , SENTOLO ," Jl. Dlaban-Wates, Sentolo, Sentolo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta ", SPPG Polda DIY 
8533,7758.0, JAWA BARAT , GARUT , CISURUPAN , PANGAUBAN ," Kp.Kubang, Rt.001, Rw.003, Ds.Pangauban, Kec.Cisurupan, Kab.Garut, Jawa Barat  ", SPPG Garut Cisurupan Pangauban 1 
8534,7759.0, JAWA BARAT , KOTA DEPOK , PANCORAN MAS , MAMPANG ," Jl. H. Amsir Rt. 04 Rw. 03 Kel. Rangkapan jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat ", SPPG Kota Depok Pancoran Mas Mampang 5 
8535,7760.0, DKI JAKARTA , KOTA ADM. JAKARTA SELATAN , KEBAYORAN BARU , GANDARIA UTARA , Jl. RS. Fatmawati No. 51 RT 004 RW 006 , SPPG Jaksel Kebayoran Baru Gandaria Utara 2 
8537,7761.0, JAWA BARAT , GARUT , TAROGONG KALER , PASAWAHAN ," Jl. Otista, Desa Pasawahan, Kecamatan Tarogong Kaler, Kabupaten Garut, Provinsi Jawa Barat ", SPPG Garut Tarogong Kaler Pasawahan 2 
8538,7762.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , JONGGAT , JELANTIK ," Jalan Raden Puguh, Desa Jelantik, Kecamatan Jonggat, Kabupaten Lombok Tengah, Provinsi Nusa Tenggara Barat ", SPPG Lombok Tengah Jonggat Jelantik 
8539,7763.0, LAMPUNG , PRINGSEWU , ADILUWIH , SRIKATON ," Srikaton Rt 004 Rw 002 Kelurahan Srikaton, Kecamatan Adiluwih, Kabupaten Pringsewu, Lampung ", SPPG Pringsewu Adiluwih Srikaton 2 
8540,7764.0, SUMATERA BARAT , PADANG PARIAMAN , VII KOTO SUNGAI SARIK , BALAH AIE ," Balah Aia, Kecamatan VII Koto Sungai Sariak, Kabupaten Padang Pariaman, Sumatera Barat ", SPPG Padang Pariaman Vii Koto Sungai Sarik Balah Aie 4 
8541,7765.0, SUMATERA UTARA , DELI SERDANG , PERCUT SEI TUAN , BANDAR SETIA ," Jl. Bersama 2, Bandar Setia, Kec. Percut Sei Tuan, Kab. Deli Serdang, Sumatera Utara ", SPPG Deli Serdang Percut Sei Tuan Bandar Setia 2 
8542,7766.0, JAWA TENGAH , DEMAK , MIJEN , PECUK ," Jl. Babalan Prawoto Pecuk, Kecamatan Mijen, Kabupaten Demak, Jawa Tengah ", SPPG Demak Mijen Pecuk 2 
8543,7767.0, LAMPUNG , TULANG BAWANG , RAWA JITU TIMUR , BUMI DIPASENA MULYA ," Jl. Tata Kota, Kel. Bumi Dipasena Mulya, Kec. Rawa Jitu Timur, Kab. Tulang Bawang, Lampung ", SPPG Tulang Bawang Rawa Jitu Timur Bumi Dipasena Mulya 2 
8544,7768.0, JAWA TIMUR , BANYUWANGI , TEGALSARI , DASRI ," Jl. Tegalsari, Dasri, Kec. Tegalsari, Kab. Banyuwangi, Jawa Timur ", SPPG Banyuwangi Tegalsari Dasri 2 
8545,7769.0, SULAWESI SELATAN , BULUKUMBA , BULUKUMPA , JAWIJAWI ," Jl. Pendidikan No.03, Kel. Jawi Jawi, Kec. Bulukumpa, Kab. Bulukumba, Sulawesi Selatan ", SPPG Bulukumba Bulukumpa Jawijawi 
